"","Unique_ID","Site","Block","Position","Genotype","ACI","LT","LPS","LMA","ImageJ_1","ImageJ_2","LBI","logLBI","logACI","logLT","logLPS","logLMA"
"46","CF_13_7_F2YW","CF",13,7,"F2YW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","CF_13_8_F2YW","CF",13,8,"F2YW",NA,NA,NA,NA,104449,110960,0.0586788031723143,-1.23151875271833,NA,NA,NA,NA
"48","CF_13_9_F2YW","CF",13,9,"F2YW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","CF_15_10_F2YW","CF",15,10,"F2YW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","CF_15_11_F2YW","CF",15,11,"F2YW",NA,NA,NA,NA,42522,45693,0.0693979384150745,-1.15865343081684,NA,NA,NA,NA
"51","CF_15_12_F2YW","CF",15,12,"F2YW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","CF_15_13_G","CF",15,13,"G",2.46666666666666,210,NA,NA,NA,NA,NA,NA,0.392110465011313,2.32221929473392,NA,NA
"53","CF_15_14_G","CF",15,14,"G",2.13333333333333,273,NA,NA,NA,NA,NA,NA,0.329058719264225,2.43616264704076,NA,NA
"54","CF_15_15_G","CF",15,15,"G",3.33333333333333,259,NA,NA,NA,NA,NA,NA,0.522878745280338,2.41329976408125,NA,NA
"55","CF_15_16_G","CF",15,16,"G",2.63333333333333,204,NA,NA,NA,NA,NA,NA,0.420505836570779,2.3096301674259,NA,NA
"56","CF_15_17_G","CF",15,17,"G",1.06666666666667,219,NA,NA,NA,NA,NA,NA,0.0280287236002435,2.34044411484012,NA,NA
"57","CF_15_18_G","CF",15,18,"G",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","CF_15_19_L","CF",15,19,"L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","CF_15_1_F2WY","CF",15,1,"F2WY",NA,NA,NA,NA,25174,27962,NA,NA,NA,NA,NA,NA
"60","CF_15_20_L","CF",15,20,"L",0,197.5,NA,NA,NA,NA,NA,NA,-Inf,2.29556709996248,NA,NA
"61","CF_15_21_L","CF",15,21,"L",1.4,233.5,NA,NA,NA,NA,NA,NA,0.146128035678238,2.36828688490213,NA,NA
"62","CF_15_22_L","CF",15,22,"L",1.5,210,NA,NA,NA,NA,NA,NA,0.176091259055681,2.32221929473392,NA,NA
"63","CF_15_23_L","CF",15,23,"L",2.86666666666667,274,NA,NA,NA,NA,NA,NA,0.457377196523905,2.43775056282039,NA,NA
"64","CF_15_24_L","CF",15,24,"L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","CF_15_2_F2WY","CF",15,2,"F2WY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","CF_15_3_F2WY","CF",15,3,"F2WY",NA,NA,NA,NA,49358.5,59333.5,0.179478635829087,-0.745987240086988,NA,NA,NA,NA
"67","CF_15_4_F2WY","CF",15,4,"F2WY",NA,NA,NA,NA,89372,95027,0.0595094025908426,-1.22541440955377,NA,NA,NA,NA
"68","CF_15_5_F2WY","CF",15,5,"F2WY",NA,NA,NA,NA,56408,62804,0.10181516170349,-0.992187544652848,NA,NA,NA,NA
"69","CF_15_6_F2WY","CF",15,6,"F2WY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","CF_15_7_F2YW","CF",15,7,"F2YW",NA,NA,NA,NA,76065,80876,0.0594861269103319,-1.22558430668822,NA,NA,NA,NA
"71","CF_15_8_F2YW","CF",15,8,"F2YW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","CF_15_9_F2YW","CF",15,9,"F2YW",NA,NA,NA,NA,213290,229619,0.0711134531550089,-1.14804823220555,NA,NA,NA,NA
"73","CF_17_10_F2YW","CF",17,10,"F2YW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","CF_17_11_F2YW","CF",17,11,"F2YW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","CF_17_12_F2YW","CF",17,12,"F2YW",NA,NA,NA,NA,90709,99251,0.0860646240340148,-1.06517532408535,NA,NA,NA,NA
"76","CF_17_13_G","CF",17,13,"G",1.66666666666667,223,NA,NA,NA,NA,NA,NA,0.221848749616356,2.34830486304816,NA,NA
"77","CF_17_14_G","CF",17,14,"G",1.33333333333333,180,NA,NA,NA,NA,NA,NA,0.1249387366083,2.25527250510331,NA,NA
"78","CF_17_15_G","CF",17,15,"G",1.83333333333333,225.5,NA,NA,NA,NA,NA,NA,0.263241434774581,2.35314654621398,NA,NA
"79","CF_17_16_G","CF",17,16,"G",2.23333333333333,223.5,NA,NA,NA,NA,NA,NA,0.348953547981164,2.34927752746796,NA,NA
"80","CF_17_17_G","CF",17,17,"G",0,NA,NA,NA,NA,NA,NA,NA,-Inf,NA,NA,NA
"81","CF_17_18_G","CF",17,18,"G",2.06666666666667,183.5,NA,NA,NA,NA,NA,NA,0.315270434778591,2.26363606858811,NA,NA
"82","CF_17_19_L","CF",17,19,"L",0,NA,NA,NA,NA,NA,NA,NA,-Inf,NA,NA,NA
"83","CF_17_1_F2WY","CF",17,1,"F2WY",NA,NA,NA,NA,127487,134849,0.0545943981787036,-1.26285191709174,NA,NA,NA,NA
"84","CF_17_20_L","CF",17,20,"L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","CF_17_21_L","CF",17,21,"L",0,NA,NA,NA,NA,NA,NA,NA,-Inf,NA,NA,NA
"86","CF_17_22_L","CF",17,22,"L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","CF_17_23_L","CF",17,23,"L",2.06666666666666,347,NA,NA,NA,NA,NA,NA,0.315270434778591,2.54032947479087,NA,NA
"88","CF_17_24_L","CF",17,24,"L",0,253,NA,NA,NA,NA,NA,NA,-Inf,2.40312052117582,NA,NA
"89","CF_17_2_F2WY","CF",17,2,"F2WY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","CF_17_3_F2WY","CF",17,3,"F2WY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","CF_17_4_F2WY","CF",17,4,"F2WY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","CF_17_5_F2WY","CF",17,5,"F2WY",NA,NA,NA,NA,38089,39513,0.0360387720497052,-1.4432300151714,NA,NA,NA,NA
"93","CF_17_6_F2WY","CF",17,6,"F2WY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","CF_17_7_F2YW","CF",17,7,"F2YW",NA,NA,NA,NA,20999,21746,0.0343511450381679,-1.46405878188042,NA,NA,NA,NA
"95","CF_17_8_F2YW","CF",17,8,"F2YW",NA,NA,NA,NA,108811,111336,0.0226790975066465,-1.64437423177569,NA,NA,NA,NA
"96","CF_17_9_F2YW","CF",17,9,"F2YW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","CF_19_10_F2YW","CF",19,10,"F2YW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","CF_19_11_F2YW","CF",19,11,"F2YW",NA,NA,NA,NA,88612,97653,0.0925829211596162,-1.03346912055593,NA,NA,NA,NA
"99","CF_19_12_F2YW","CF",19,12,"F2YW",NA,NA,NA,NA,48218,53855,0.104669947080123,-0.980177995406282,NA,NA,NA,NA
"100","CF_19_13_G","CF",19,13,"G",1.13333333333333,186.5,NA,NA,NA,NA,NA,NA,0.0543576623225927,2.27067883614471,NA,NA
"101","CF_19_14_G","CF",19,14,"G",2.9,241,NA,NA,NA,NA,NA,NA,0.462397997898956,2.38201704257487,NA,NA
"102","CF_19_15_G","CF",19,15,"G",2.46666666666667,223,NA,NA,NA,NA,NA,NA,0.392110465011314,2.34830486304816,NA,NA
"103","CF_19_16_G","CF",19,16,"G",2.73333333333333,183,NA,NA,NA,NA,NA,NA,0.436692597664054,2.26245108973043,NA,NA
"104","CF_19_17_G","CF",19,17,"G",0.566666666666667,188,NA,NA,NA,NA,NA,NA,-0.246672333341388,2.27415784926368,NA,NA
"105","CF_19_18_G","CF",19,18,"G",1.2,147,NA,NA,NA,NA,NA,NA,0.0791812460476248,2.16731733474818,NA,NA
"106","CF_19_19_L","CF",19,19,"L",3.2,282,NA,NA,NA,NA,NA,NA,0.505149978319906,2.45024910831936,NA,NA
"107","CF_19_1_F2WY","CF",19,1,"F2WY",NA,NA,NA,NA,44756.5,48224.5,0.0767534777206617,-1.1149019374055,NA,NA,NA,NA
"108","CF_19_20_L","CF",19,20,"L",1.76666666666667,308.5,NA,NA,NA,NA,NA,NA,0.247154614881127,2.48925516836926,NA,NA
"109","CF_19_21_L","CF",19,21,"L",1.5,313.5,NA,NA,NA,NA,NA,NA,0.176091259055681,2.49623754516674,NA,NA
"110","CF_19_22_L","CF",19,22,"L",2.06666666666666,290,NA,NA,NA,NA,NA,NA,0.315270434778591,2.46239799789896,NA,NA
"111","CF_19_23_L","CF",19,23,"L",1.6,270,NA,NA,NA,NA,NA,NA,0.204119982655925,2.43136376415899,NA,NA
"112","CF_19_24_L","CF",19,24,"L",1.53333333333333,282,NA,NA,NA,NA,NA,NA,0.185636576961912,2.45024910831936,NA,NA
